hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults
Resort Hotel - Ahmedabad,0,0,2024,September,36,3,0,3,3
Resort Hotel - Pune,0,0,2024,June,25,23,0,3,2
Resort Hotel - Bhopal,0,5,2024,June,25,20,0,3,2
Resort Hotel - Jaipur,0,41,2024,March,12,23,0,3,1
Resort Hotel - Hyderabad,0,42,2024,July,27,6,0,3,3
Resort Hotel - Lucknow,0,43,2024,February,6,6,0,3,2
Resort Hotel - Bangalore,0,42,2024,April,14,5,0,3,1
Resort Hotel - Kochi,0,12,2024,May,19,6,0,1,1
Resort Hotel - Chennai,0,41,2024,May,22,31,0,3,2
Resort Hotel - Chennai,0,3,2024,August,32,10,0,1,2
Resort Hotel - Goa,0,26,2024,November,48,29,0,1,2
Resort Hotel - Kolkata,0,5,2024,December,51,17,0,1,2
Resort Hotel - Pune,0,1,2024,January,1,2,0,1,2
Resort Hotel - Mumbai,0,1,2024,August,32,6,0,1,2
Resort Hotel - Chennai,0,1,2024,April,14,7,0,1,2
Resort Hotel - Bangalore,0,21,2024,April,16,21,0,2,2
Resort Hotel - Jaipur,0,0,2024,September,36,4,0,1,2
Resort Hotel - Indore,0,4,2024,March,12,21,0,2,2
Resort Hotel - Indore,0,59,2024,June,23,9,0,2,2
Resort Hotel - Goa,0,129,2024,May,19,12,0,2,2
Resort Hotel - Bhopal,0,123,2024,October,40,6,0,2,2
Resort Hotel - Bhopal,0,129,2024,May,18,5,0,2,2
Resort Hotel - Goa,0,0,2024,June,23,8,0,1,2
Resort Hotel - Jaipur,0,0,2024,December,50,13,0,1,2
Resort Hotel - Lucknow,0,0,2024,August,32,5,0,2,2
Resort Hotel - Goa,0,14,2024,October,44,29,0,1,2
Resort Hotel - Bhopal,0,1,2024,June,23,7,0,2,2
Resort Hotel - Kolkata,0,2,2024,July,30,26,0,2,2
Resort Hotel - Bhopal,0,17,2024,October,43,24,0,2,2
Resort Hotel - Delhi,0,23,2024,June,25,22,0,2,2
Resort Hotel - Chandigarh,0,0,2024,September,36,3,0,1,2
Resort Hotel - Jaipur,0,10,2024,December,52,29,0,2,2
Resort Hotel - Chennai,0,0,2024,June,26,25,0,1,2
Resort Hotel - Kolkata,0,0,2024,November,46,17,0,2,2
Resort Hotel - Mumbai,0,2,2024,December,51,16,0,2,2
Resort Hotel - Chandigarh,0,1,2024,June,25,22,0,2,2
Resort Hotel - Hyderabad,0,1,2024,October,41,11,1,0,2
Resort Hotel - Pune,0,66,2024,December,51,21,1,0,2
Resort Hotel - Chennai,0,67,2024,September,38,16,1,1,1
Resort Hotel - Pune,0,20,2024,December,51,20,1,2,2
Resort Hotel - Chandigarh,0,66,2024,October,41,10,1,2,2
Resort Hotel - Ahmedabad,0,0,2024,December,50,12,1,0,3
Resort Hotel - Mumbai,0,0,2024,February,7,16,1,0,3
Resort Hotel - Bhopal,0,6,2024,September,38,18,1,0,2
Resort Hotel - Kolkata,0,22,2024,November,47,21,1,1,2
Resort Hotel - Kolkata,0,1,2024,June,22,1,1,0,2
Resort Hotel - Kochi,0,39,2024,June,25,23,1,5,2
Resort Hotel - Indore,0,1,2024,October,43,22,2,4,2
Resort Hotel - Mumbai,0,13,2024,December,51,19,1,3,2
Resort Hotel - Kochi,0,0,2024,August,34,21,1,3,1
Resort Hotel - Indore,0,4,2024,October,42,15,0,1,2
Resort Hotel - Indore,0,65,2024,August,34,23,2,3,2
Resort Hotel - Ahmedabad,0,117,2024,February,6,11,2,3,2
Resort Hotel - Ahmedabad,0,10,2024,December,1,30,2,3,1
Resort Hotel - Mumbai,0,0,2024,September,38,20,1,0,1
Resort Hotel - Lucknow,0,0,2024,July,28,8,1,0,1
Resort Hotel - Mumbai,0,1,2024,October,44,30,2,0,2
Resort Hotel - Delhi,0,16,2024,June,26,25,2,1,2
Resort Hotel - Lucknow,0,13,2024,February,6,9,2,0,2
Resort Hotel - Pune,0,0,2024,December,48,1,1,0,2
Resort Hotel - Jaipur,0,6,2024,September,38,21,0,1,1
Resort Hotel - Chennai,0,5,2024,February,8,24,0,1,1
Resort Hotel - Bhopal,0,4,2024,April,14,4,0,1,1
Resort Hotel - Goa,0,3,2024,March,11,11,1,0,1
Resort Hotel - Mumbai,0,0,2024,March,11,16,0,1,2
Resort Hotel - Jaipur,0,0,2024,December,50,12,0,1,2
Resort Hotel - Jaipur,0,0,2024,September,36,8,0,1,2
Resort Hotel - Bhopal,0,0,2024,April,17,28,1,1,1
Resort Hotel - Delhi,0,3,2024,March,10,4,1,1,1
Resort Hotel - Bhopal,0,5,2024,February,9,29,0,2,1
Resort Hotel - Lucknow,0,1,2024,November,48,27,0,2,1
Resort Hotel - Goa,0,0,2024,July,31,31,0,1,1
Resort Hotel - Bhopal,0,0,2024,December,51,19,0,1,1
Resort Hotel - Indore,0,0,2024,December,52,27,0,1,1
Resort Hotel - Jaipur,0,92,2024,October,41,7,2,4,2
Resort Hotel - Delhi,0,57,2024,January,3,15,2,2,2
Resort Hotel - Jaipur,0,26,2024,March,9,2,2,2,2
Resort Hotel - Jaipur,0,0,2024,February,9,27,1,1,1
Resort Hotel - Kolkata,0,0,2024,May,18,3,0,1,1
Resort Hotel - Jaipur,0,0,2024,November,46,16,0,1,2
Resort Hotel - Jaipur,0,0,2024,September,36,7,0,1,2
Resort Hotel - Chandigarh,0,15,2024,February,7,17,0,1,2
Resort Hotel - Goa,0,81,2024,November,46,12,2,2,2
Resort Hotel - Bangalore,0,4,2024,February,8,22,0,1,1
Resort Hotel - Kolkata,0,5,2024,April,14,4,0,1,1
Resort Hotel - Lucknow,0,2,2024,October,44,29,0,1,1
Resort Hotel - Indore,0,2,2024,June,26,30,0,1,1
Resort Hotel - Chandigarh,0,2,2024,February,8,25,0,1,1
Resort Hotel - Jaipur,0,2,2024,October,41,13,0,1,1
Resort Hotel - Hyderabad,0,0,2024,December,52,28,1,1,1
Resort Hotel - Lucknow,0,0,2024,March,10,7,0,1,1
Resort Hotel - Chennai,0,0,2024,October,40,4,0,1,1
Resort Hotel - Chennai,0,0,2024,November,45,10,0,1,1
Resort Hotel - Mumbai,0,0,2024,October,41,10,0,1,1
Resort Hotel - Ahmedabad,0,0,2024,September,38,22,0,1,1
Resort Hotel - Kochi,0,30,2024,July,30,22,2,4,2
Resort Hotel - Delhi,0,0,2024,July,29,20,0,1,1
Resort Hotel - Lucknow,0,0,2024,November,46,13,0,1,1
Resort Hotel - Chennai,0,1,2024,September,39,26,0,2,1
Resort Hotel - Bangalore,0,0,2024,May,21,26,0,2,1
Resort Hotel - Bangalore,0,4,2024,September,38,18,2,2,1
Resort Hotel - Goa,0,4,2024,May,19,9,1,2,1
Resort Hotel - Bhopal,0,17,2024,October,42,19,0,2,1
Resort Hotel - Jaipur,0,0,2024,June,25,20,0,2,2
Resort Hotel - Kolkata,0,5,2024,October,44,31,0,1,1
Resort Hotel - Kolkata,0,0,2024,May,18,1,0,3,2
Resort Hotel - Ahmedabad,0,0,2024,March,13,30,1,3,1
Resort Hotel - Bangalore,0,0,2024,February,6,6,1,0,1
Resort Hotel - Lucknow,0,24,2024,December,49,2,2,5,1
Resort Hotel - Hyderabad,0,4,2024,March,11,17,0,2,1
Resort Hotel - Kolkata,0,0,2024,July,27,4,0,2,2
Resort Hotel - Kochi,0,0,2024,May,22,30,0,2,2
Resort Hotel - Indore,0,7,2024,September,38,22,0,1,2
Resort Hotel - Jaipur,0,0,2024,July,30,26,0,1,1
Resort Hotel - Pune,0,21,2024,June,24,10,0,3,2
Resort Hotel - Goa,0,10,2024,April,14,3,1,3,2
Resort Hotel - Kolkata,0,0,2024,June,24,16,2,7,1
Resort Hotel - Hyderabad,0,0,2024,May,20,16,2,7,1
Resort Hotel - Chandigarh,0,0,2024,March,9,1,0,1,1
Resort Hotel - Pune,0,15,2024,July,31,31,0,2,2
Resort Hotel - Pune,0,0,2024,August,34,22,0,1,1
Resort Hotel - Ahmedabad,0,8,2024,January,3,21,0,3,1
Resort Hotel - Bhopal,0,6,2024,September,39,24,1,2,1
Resort Hotel - Goa,0,9,2024,October,40,3,0,1,1
Resort Hotel - Goa,0,6,2024,January,4,25,0,1,1
Resort Hotel - Indore,0,2,2024,July,29,18,0,1,1
Resort Hotel - Chennai,0,11,2024,March,11,11,1,3,2
Resort Hotel - Ahmedabad,1,2,2024,May,22,28,0,2,1
Resort Hotel - Lucknow,0,11,2024,June,24,16,1,3,1
Resort Hotel - Chandigarh,0,0,2024,February,6,8,0,1,2
Resort Hotel - Bangalore,0,7,2024,March,12,22,0,1,1
Resort Hotel - Pune,0,7,2024,July,28,10,0,1,1
Resort Hotel - Bangalore,0,0,2024,August,31,1,0,1,1
Resort Hotel - Lucknow,0,10,2024,January,5,29,1,3,1
Resort Hotel - Delhi,0,11,2024,February,8,20,0,3,1
Resort Hotel - Kolkata,0,12,2024,March,11,15,0,1,1
Resort Hotel - Ahmedabad,0,0,2024,May,22,27,0,1,1
Resort Hotel - Mumbai,0,0,2024,April,16,18,0,1,2
Resort Hotel - Indore,0,0,2024,February,9,28,0,1,2
Resort Hotel - Pune,0,0,2024,November,44,2,0,1,1
Resort Hotel - Indore,0,1,2024,April,15,11,0,3,2
Resort Hotel - Bhopal,0,1,2024,December,48,1,0,3,2
Resort Hotel - Delhi,0,5,2024,June,25,22,0,2,2
Resort Hotel - Ahmedabad,0,1,2024,April,16,17,0,1,1
Resort Hotel - Mumbai,0,1,2024,September,37,14,0,1,1
Resort Hotel - Delhi,0,0,2024,January,2,11,0,3,1
Resort Hotel - Pune,0,3,2024,September,39,23,1,3,1
Resort Hotel - Bangalore,0,5,2024,December,52,24,1,3,1
Resort Hotel - Kolkata,0,6,2024,October,43,22,1,3,1
Resort Hotel - Mumbai,0,1,2024,October,41,11,0,1,1
Resort Hotel - Chennai,0,9,2024,April,15,8,0,2,2
Resort Hotel - Ahmedabad,0,2,2024,March,10,8,0,2,2
Resort Hotel - Indore,0,9,2024,April,17,25,2,4,2
Resort Hotel - Chandigarh,0,70,2024,October,44,28,0,4,2
Resort Hotel - Hyderabad,0,4,2024,January,3,19,0,1,1
Resort Hotel - Hyderabad,0,0,2024,April,16,17,0,1,1
Resort Hotel - Mumbai,0,0,2024,October,40,2,0,1,2
Resort Hotel - Jaipur,0,1,2024,May,22,30,0,1,2
Resort Hotel - Ahmedabad,0,0,2024,February,9,28,0,1,2
Resort Hotel - Kochi,0,20,2024,July,29,17,0,1,2
Resort Hotel - Chandigarh,0,20,2024,November,48,30,0,1,2
Resort Hotel - Goa,0,0,2024,July,30,27,0,2,2
Resort Hotel - Jaipur,0,0,2024,October,40,6,0,1,2
Resort Hotel - Chennai,0,2,2024,June,26,30,0,1,2
Resort Hotel - Mumbai,0,5,2024,December,49,8,2,4,2
Resort Hotel - Kochi,0,1,2024,July,30,22,0,1,2
Resort Hotel - Pune,0,0,2024,November,44,3,0,4,2
Resort Hotel - Delhi,0,1,2024,July,29,15,0,3,1
Resort Hotel - Chandigarh,0,13,2024,April,15,12,0,2,2
Resort Hotel - Bhopal,0,15,2024,June,25,23,0,3,2
Resort Hotel - Indore,0,25,2024,May,20,16,0,2,2
Resort Hotel - Jaipur,0,4,2024,May,21,26,0,2,2
Resort Hotel - Bangalore,0,4,2024,October,41,7,0,2,2
Resort Hotel - Pune,0,0,2024,September,36,3,0,1,2
Resort Hotel - Kolkata,0,12,2024,August,34,24,0,1,2
Resort Hotel - Kochi,0,9,2024,March,12,22,0,1,2
Resort Hotel - Pune,0,4,2024,January,1,3,0,1,2
Resort Hotel - Kochi,0,4,2024,March,13,31,0,1,2
Resort Hotel - Mumbai,0,0,2024,April,17,25,0,1,2
Resort Hotel - Hyderabad,0,14,2024,March,13,29,0,2,2
Resort Hotel - Kochi,0,3,2024,August,34,23,0,1,2
Resort Hotel - Delhi,0,2,2024,April,15,12,0,2,2
Resort Hotel - Bhopal,0,1,2024,March,9,2,0,3,2
Resort Hotel - Bangalore,0,1,2024,January,1,7,0,3,1
Resort Hotel - Indore,0,3,2024,April,14,1,0,1,2
Resort Hotel - Ahmedabad,0,2,2024,August,32,7,0,1,2
Resort Hotel - Indore,0,2,2024,August,31,1,0,1,2
Resort Hotel - Lucknow,0,4,2024,December,50,14,0,1,2
Resort Hotel - Indore,0,0,2024,July,28,8,0,1,2
Resort Hotel - Chennai,0,2,2024,August,35,26,0,2,2
Resort Hotel - Chennai,0,3,2024,August,31,4,0,2,2
Resort Hotel - Chennai,0,3,2024,July,27,5,0,1,2
Resort Hotel - Bangalore,0,16,2024,October,42,14,0,2,2
Resort Hotel - Lucknow,0,14,2024,January,1,2,1,5,2
Resort Hotel - Chennai,0,16,2024,May,22,30,0,2,2
Resort Hotel - Bhopal,0,16,2024,April,15,11,0,2,2
Resort Hotel - Hyderabad,0,3,2024,June,24,15,0,1,2
Resort Hotel - Bangalore,0,1,2024,December,52,24,0,1,1
Resort Hotel - Mumbai,0,13,2024,September,38,17,0,2,2
Resort Hotel - Kolkata,0,2,2024,September,38,20,0,1,2
Resort Hotel - Indore,0,4,2024,March,10,9,0,1,2
Resort Hotel - Hyderabad,0,2,2024,June,25,20,0,1,2
Resort Hotel - Ahmedabad,0,21,2024,February,8,20,0,3,2
Resort Hotel - Chandigarh,0,10,2024,March,11,13,1,3,2
Resort Hotel - Indore,0,4,2024,October,43,21,0,2,2
Resort Hotel - Jaipur,0,2,2024,November,45,5,0,2,2
Resort Hotel - Kochi,0,9,2024,September,37,12,0,2,2
Resort Hotel - Lucknow,0,21,2024,August,35,31,0,2,2
Resort Hotel - Lucknow,0,21,2024,August,31,2,0,2,2
Resort Hotel - Jaipur,0,1,2024,January,2,11,0,1,2
Resort Hotel - Indore,0,0,2024,June,25,17,0,2,2
Resort Hotel - Bangalore,0,3,2024,April,15,10,0,1,2
Resort Hotel - Delhi,0,23,2024,May,22,29,0,2,2
Resort Hotel - Lucknow,0,21,2024,December,50,9,0,3,2
Resort Hotel - Pune,0,10,2024,December,51,18,1,3,2
Resort Hotel - Bangalore,0,22,2024,November,45,6,1,1,2
Resort Hotel - Bhopal,0,10,2024,March,9,1,1,3,1
Resort Hotel - Jaipur,0,192,2024,October,44,29,1,0,2
Resort Hotel - Hyderabad,0,0,2024,August,31,4,1,4,2
Resort Hotel - Bhopal,0,21,2024,August,34,21,1,3,2
Resort Hotel - Pune,0,3,2024,March,12,24,1,2,2
Resort Hotel - Bhopal,0,21,2024,April,15,9,1,3,2
Resort Hotel - Bangalore,0,10,2024,November,48,26,1,3,2
Resort Hotel - Kochi,0,20,2024,January,5,31,1,2,2
Resort Hotel - Goa,0,15,2024,March,9,2,1,1,2
Resort Hotel - Chennai,0,21,2024,September,37,14,1,3,1
Resort Hotel - Chennai,0,53,2024,June,26,28,1,1,2
Resort Hotel - Hyderabad,0,0,2024,June,23,8,1,2,2
Resort Hotel - Jaipur,0,1,2024,December,52,25,1,0,2
Resort Hotel - Hyderabad,0,1,2024,November,45,4,1,1,2
Resort Hotel - Indore,0,1,2024,September,37,12,1,1,2
Resort Hotel - Goa,0,4,2024,April,14,3,1,1,2
Resort Hotel - Indore,0,4,2024,August,35,27,1,2,2
Resort Hotel - Delhi,0,4,2024,March,13,29,1,0,2
Resort Hotel - Bhopal,0,3,2024,October,44,31,1,1,2
Resort Hotel - Goa,0,19,2024,November,47,21,1,1,2
Resort Hotel - Chennai,0,5,2024,May,19,7,1,1,2
Resort Hotel - Jaipur,0,0,2024,June,24,16,1,0,2
Resort Hotel - Goa,0,21,2024,December,52,29,1,3,2
Resort Hotel - Jaipur,0,21,2024,June,25,19,1,3,2
Resort Hotel - Delhi,0,10,2024,January,5,31,1,3,2
Resort Hotel - Indore,0,38,2024,September,36,4,2,5,2
Resort Hotel - Hyderabad,0,7,2024,October,41,10,1,0,1
Resort Hotel - Kochi,0,72,2024,November,47,21,2,1,2
Resort Hotel - Delhi,0,28,2024,December,52,24,2,4,2
Resort Hotel - Delhi,0,72,2024,April,14,7,2,1,2
Resort Hotel - Mumbai,0,52,2024,January,2,10,2,1,2
Resort Hotel - Pune,0,3,2024,June,22,2,2,3,1
Resort Hotel - Bangalore,0,0,2024,December,49,4,1,0,2
Resort Hotel - Kolkata,0,72,2024,October,41,7,2,1,1
Resort Hotel - Delhi,0,4,2024,July,27,1,1,0,1
Resort Hotel - Pune,0,72,2024,May,21,22,2,1,2
Resort Hotel - Chandigarh,0,72,2024,March,12,24,2,1,1
Resort Hotel - Hyderabad,0,72,2024,January,4,24,2,1,2
Resort Hotel - Kolkata,0,72,2024,January,4,25,2,1,2
Resort Hotel - Ahmedabad,0,72,2024,April,17,26,2,1,2
Resort Hotel - Lucknow,0,72,2024,November,45,8,2,1,2
Resort Hotel - Kolkata,0,7,2024,June,23,4,1,0,1
Resort Hotel - Kochi,0,72,2024,June,24,14,2,1,2
Resort Hotel - Ahmedabad,0,72,2024,August,33,13,2,1,2
Resort Hotel - Goa,0,7,2024,January,3,16,4,8,2
Resort Hotel - Goa,0,0,2024,August,34,23,1,0,2
Resort Hotel - Pune,0,72,2024,March,10,10,2,1,2
Resort Hotel - Indore,0,6,2024,April,16,21,2,2,2
Resort Hotel - Chennai,0,72,2024,January,3,18,2,1,2
Resort Hotel - Kochi,0,29,2024,October,43,27,2,1,2
Resort Hotel - Lucknow,0,29,2024,October,43,21,2,1,2
Resort Hotel - Lucknow,0,72,2024,August,32,6,2,1,2
Resort Hotel - Hyderabad,0,1,2024,January,3,20,2,3,2
Resort Hotel - Kochi,0,0,2024,April,14,7,2,2,2
Resort Hotel - Kochi,0,2,2024,July,31,31,2,2,2
Resort Hotel - Bangalore,0,0,2024,March,10,7,1,0,2
Resort Hotel - Kolkata,0,12,2024,September,37,15,2,1,2
Resort Hotel - Chennai,0,11,2024,November,45,10,2,1,2
Resort Hotel - Chandigarh,0,4,2024,February,7,17,2,1,2
Resort Hotel - Bangalore,0,2,2024,October,40,2,2,0,1
Resort Hotel - Pune,0,1,2024,February,8,21,2,0,2
Resort Hotel - Lucknow,0,0,2024,June,22,1,1,2,2
Resort Hotel - Delhi,0,0,2024,January,2,11,1,0,2
Resort Hotel - Bhopal,0,0,2024,February,9,26,0,3,2
Resort Hotel - Jaipur,0,0,2024,February,5,1,1,0,2
Resort Hotel - Pune,0,0,2024,January,1,2,0,3,2
Resort Hotel - Kochi,0,1,2024,October,44,31,2,1,2
Resort Hotel - Bangalore,0,1,2024,May,21,23,2,0,2
Resort Hotel - Lucknow,0,1,2024,August,34,20,2,1,2
Resort Hotel - Kolkata,0,10,2024,July,27,1,1,0,2
Resort Hotel - Indore,0,6,2024,September,36,8,2,0,3
Resort Hotel - Mumbai,0,5,2024,September,37,13,2,1,2
Resort Hotel - Chandigarh,0,1,2024,November,46,12,1,0,2
Resort Hotel - Chandigarh,0,23,2024,August,34,21,2,1,2
Resort Hotel - Jaipur,0,23,2024,October,42,14,2,1,2
Resort Hotel - Lucknow,0,3,2024,May,18,2,2,1,1
Resort Hotel - Chennai,0,24,2024,December,50,11,2,0,2
Resort Hotel - Bhopal,0,20,2024,August,35,29,2,2,2
Resort Hotel - Goa,0,26,2024,August,34,23,1,5,2
Resort Hotel - Bhopal,0,72,2024,May,19,9,2,1,2
Resort Hotel - Bhopal,0,72,2024,June,26,29,2,1,1
Resort Hotel - Hyderabad,0,2,2024,August,34,24,2,0,2
Resort Hotel - Bangalore,0,1,2024,December,50,14,2,1,2
Resort Hotel - Ahmedabad,0,21,2024,May,19,10,2,2,2
Resort Hotel - Pune,0,26,2024,July,28,9,0,3,2
Resort Hotel - Kolkata,0,0,2024,July,30,28,2,0,2
Resort Hotel - Kochi,0,21,2024,October,42,15,2,1,2
Resort Hotel - Lucknow,0,26,2024,January,4,23,0,3,2
Resort Hotel - Kochi,0,0,2024,February,8,22,2,2,2
Resort Hotel - Lucknow,0,128,2024,February,5,1,2,5,2
Resort Hotel - Ahmedabad,0,2,2024,February,7,12,2,3,2
Resort Hotel - Kochi,0,16,2024,August,35,27,4,6,2
Resort Hotel - Bangalore,0,2,2024,October,42,16,2,3,2
Resort Hotel - Kolkata,0,6,2024,September,39,24,2,3,2
Resort Hotel - Chandigarh,0,2,2024,February,5,4,0,2,2
Resort Hotel - Indore,0,33,2024,January,3,15,0,1,1
Resort Hotel - Bhopal,0,3,2024,February,7,13,2,1,2
Resort Hotel - Ahmedabad,0,0,2024,June,23,5,0,1,2
Resort Hotel - Pune,0,0,2024,May,19,6,0,3,2
Resort Hotel - Jaipur,0,69,2024,March,12,20,1,1,2
Resort Hotel - Lucknow,0,0,2024,September,38,20,0,1,2
Resort Hotel - Bhopal,0,0,2024,April,17,26,0,3,2
Resort Hotel - Delhi,0,0,2024,January,3,20,0,1,2
Resort Hotel - Mumbai,0,2,2024,May,21,23,2,5,2
Resort Hotel - Hyderabad,0,0,2024,January,1,4,0,1,2
Resort Hotel - Lucknow,0,3,2024,December,52,28,2,1,2
Resort Hotel - Mumbai,0,23,2024,May,19,10,2,2,2
Resort Hotel - Mumbai,0,17,2024,April,14,5,2,4,2
Resort Hotel - Bhopal,0,70,2024,May,21,26,2,5,2
Resort Hotel - Mumbai,0,17,2024,February,5,3,2,2,2
Resort Hotel - Chennai,0,0,2024,January,5,31,0,1,2
Resort Hotel - Bhopal,0,119,2024,August,31,3,4,10,2
Resort Hotel - Chennai,0,1,2024,February,7,15,0,1,3
Resort Hotel - Kochi,0,7,2024,July,28,14,0,0,2
Resort Hotel - Mumbai,0,0,2024,October,40,1,2,1,2
Resort Hotel - Chandigarh,0,2,2024,September,36,6,2,5,1
Resort Hotel - Lucknow,0,10,2024,September,36,5,1,1,2
Resort Hotel - Lucknow,0,22,2024,December,50,12,2,3,2
Resort Hotel - Indore,0,1,2024,November,45,4,2,1,2
Resort Hotel - Lucknow,0,0,2024,May,22,27,1,1,3
Resort Hotel - Chandigarh,0,7,2024,August,35,30,0,2,1
Resort Hotel - Ahmedabad,0,7,2024,August,34,22,0,2,1
Resort Hotel - Kolkata,0,7,2024,October,41,11,0,2,1
Resort Hotel - Lucknow,0,0,2024,July,27,4,0,1,1
Resort Hotel - Kochi,0,0,2024,April,14,3,0,1,1
Resort Hotel - Indore,0,5,2024,August,35,26,0,1,2
Resort Hotel - Kochi,0,7,2024,May,19,6,0,2,2
Resort Hotel - Chennai,0,5,2024,March,11,14,0,2,2
Resort Hotel - Kolkata,0,0,2024,July,28,11,0,1,1
Resort Hotel - Kolkata,0,3,2024,June,26,27,1,0,2
Resort Hotel - Ahmedabad,0,0,2024,July,28,14,0,1,1
Resort Hotel - Kolkata,0,0,2024,May,18,4,0,1,1
Resort Hotel - Kolkata,0,3,2024,June,23,8,1,0,1
Resort Hotel - Chandigarh,0,0,2024,January,1,7,0,1,1
Resort Hotel - Kolkata,0,92,2024,October,40,2,10,25,1
Resort Hotel - Hyderabad,0,23,2024,March,9,2,2,3,2
Resort Hotel - Goa,0,35,2024,January,3,20,1,4,2
Resort Hotel - Goa,0,57,2024,June,25,22,1,4,2
Resort Hotel - Lucknow,0,6,2024,February,6,10,0,1,1
Resort Hotel - Lucknow,0,8,2024,August,35,30,0,1,1
Resort Hotel - Lucknow,0,14,2024,February,9,26,0,1,1
Resort Hotel - Lucknow,0,8,2024,October,40,2,0,1,1
Resort Hotel - Mumbai,0,48,2024,November,46,15,0,1,1
Resort Hotel - Indore,0,35,2024,May,21,25,0,2,1
Resort Hotel - Pune,0,26,2024,February,7,12,0,3,1
Resort Hotel - Goa,0,0,2024,July,30,24,0,1,2
Resort Hotel - Indore,0,0,2024,July,30,22,0,1,2
Resort Hotel - Pune,0,0,2024,December,51,17,0,1,2
Resort Hotel - Indore,0,57,2024,December,49,3,2,2,2
Resort Hotel - Goa,0,20,2024,March,11,11,2,5,2
Resort Hotel - Pune,0,27,2024,July,30,27,2,2,2
Resort Hotel - Indore,0,4,2024,January,1,7,2,3,2
Resort Hotel - Mumbai,0,4,2024,November,46,14,2,3,1
Resort Hotel - Bangalore,0,3,2024,May,20,18,0,1,2
Resort Hotel - Goa,0,2,2024,April,15,11,0,2,1
Resort Hotel - Jaipur,0,0,2024,July,27,4,0,1,1
Resort Hotel - Kolkata,0,0,2024,November,46,16,1,1,1
Resort Hotel - Bangalore,0,1,2024,August,35,29,0,2,2
Resort Hotel - Jaipur,0,22,2024,May,19,9,2,8,2
Resort Hotel - Pune,0,52,2024,July,27,2,2,4,2
Resort Hotel - Bangalore,0,50,2024,June,26,30,2,4,2
Resort Hotel - Goa,0,84,2024,October,41,13,0,1,2
Resort Hotel - Goa,0,2,2024,November,45,10,2,3,2
Resort Hotel - Bangalore,0,0,2024,February,8,25,0,1,1
Resort Hotel - Kolkata,0,0,2024,December,48,1,1,0,1
Resort Hotel - Chandigarh,0,0,2024,July,27,6,0,1,1
Resort Hotel - Bangalore,0,15,2024,December,48,1,0,1,2
Resort Hotel - Delhi,0,0,2024,January,3,16,0,1,2
Resort Hotel - Chandigarh,0,8,2024,October,40,5,0,2,2
Resort Hotel - Kolkata,0,15,2024,May,20,19,2,5,1
Resort Hotel - Jaipur,0,22,2024,October,41,10,2,6,2
Resort Hotel - Delhi,0,2,2024,June,26,28,0,2,2
Resort Hotel - Bhopal,0,32,2024,October,44,31,0,1,2
Resort Hotel - Kochi,0,2,2024,September,37,13,0,0,3
Resort Hotel - Chennai,0,2,2024,April,16,18,0,2,2
Resort Hotel - Chandigarh,0,0,2024,January,4,25,0,2,2
Resort Hotel - Mumbai,0,19,2024,April,17,22,4,10,2
Resort Hotel - Goa,0,9,2024,October,43,22,2,5,2
Resort Hotel - Kolkata,0,0,2024,January,4,27,0,1,2
Resort Hotel - Chennai,0,8,2024,August,33,15,0,1,2
Resort Hotel - Bangalore,0,0,2024,September,40,30,0,1,2
Resort Hotel - Kolkata,0,0,2024,September,36,3,1,0,1
Resort Hotel - Goa,0,0,2024,January,2,12,0,1,1
Resort Hotel - Delhi,0,0,2024,March,13,27,0,1,1
Resort Hotel - Pune,0,0,2024,August,34,23,1,0,1
Resort Hotel - Goa,0,26,2024,July,28,8,2,5,2
Resort Hotel - Bangalore,0,2,2024,March,12,23,0,2,2
Resort Hotel - Indore,0,2,2024,February,6,7,2,4,2
Resort Hotel - Hyderabad,0,17,2024,May,21,25,2,5,2
Resort Hotel - Jaipur,0,33,2024,May,20,18,0,2,2
Resort Hotel - Bangalore,0,1,2024,April,17,26,0,1,2
Resort Hotel - Hyderabad,0,26,2024,February,5,2,2,5,2
Resort Hotel - Chennai,0,0,2024,September,39,27,0,1,2
Resort Hotel - Bangalore,0,8,2024,June,22,2,1,1,2
Resort Hotel - Chennai,0,4,2024,December,52,26,0,1,2
Resort Hotel - Kolkata,0,1,2024,September,37,10,0,2,2
Resort Hotel - Goa,0,16,2024,March,12,22,0,3,2
Resort Hotel - Bhopal,0,144,2024,July,29,21,8,20,2
Resort Hotel - Delhi,0,23,2024,August,32,6,0,2,2
Resort Hotel - Pune,0,11,2024,September,37,9,0,2,2
Resort Hotel - Pune,0,4,2024,May,21,25,0,1,2
Resort Hotel - Bhopal,0,9,2024,July,27,4,0,1,2
Resort Hotel - Indore,0,1,2024,April,15,12,0,1,2
Resort Hotel - Bangalore,0,0,2024,October,43,23,0,2,2
Resort Hotel - Ahmedabad,0,32,2024,February,7,16,0,1,2
Resort Hotel - Jaipur,0,7,2024,February,7,12,0,2,2
Resort Hotel - Chennai,0,7,2024,April,15,12,0,2,2
Resort Hotel - Kochi,0,7,2024,October,42,17,0,2,2
Resort Hotel - Ahmedabad,0,9,2024,February,9,27,0,1,2
Resort Hotel - Chandigarh,0,9,2024,January,5,30,0,2,2
Resort Hotel - Mumbai,0,0,2024,August,32,11,0,1,1
